course_id,title,platform,instructor,specialty,skills,level,duration,price,rating,language,certificate,url
1,Machine Learning Specialization (Beginner),Coursera,Andrew Ng / Stanford,Artificial Intelligence & ML,TensorFlow|Python|Keras|Hugging Face|Machine Learning,Beginner,3 months,Free,4.9,English,Yes,https://www.coursera.org/learn/machine-learning-specialization
2,Machine Learning Specialization (Intermediate),Coursera,Andrew Ng / Stanford,Artificial Intelligence & ML,TensorFlow|OpenCV|Hugging Face,Intermediate,3 months,Free,4.9,English,Yes,https://www.coursera.org/learn/machine-learning-specialization
3,Machine Learning Specialization (Advanced),Coursera,Andrew Ng / Stanford,Artificial Intelligence & ML,Machine Learning|Python|OpenCV|Deep Learning|TensorFlow,Advanced,3 months,Free,4.8,English,Yes,https://www.coursera.org/learn/machine-learning-specialization
4,Deep Learning Specialization (Beginner),Coursera,Andrew Ng / DeepLearning.AI,Artificial Intelligence & ML,OpenCV|Python|Scikit-learn,Beginner,5 months,Free,4.9,English,Yes,https://www.coursera.org/learn/deep-learning-specialization
5,Deep Learning Specialization (Intermediate),Coursera,Andrew Ng / DeepLearning.AI,Artificial Intelligence & ML,OpenCV|Machine Learning|Scikit-learn|Deep Learning|Keras,Intermediate,5 months,Free,4.9,English,Yes,https://www.coursera.org/learn/deep-learning-specialization
6,Deep Learning Specialization (Advanced),Coursera,Andrew Ng / DeepLearning.AI,Artificial Intelligence & ML,Python|PyTorch|Machine Learning|OpenCV,Advanced,5 months,Free,4.8,English,Yes,https://www.coursera.org/learn/deep-learning-specialization
7,TensorFlow Developer Certificate (Beginner),Coursera,DeepLearning.AI,Artificial Intelligence & ML,PyTorch|Scikit-learn|NLP|Python,Beginner,4 months,Free,4.8,English,Yes,https://www.coursera.org/learn/tensorflow-developer-certificate
8,TensorFlow Developer Certificate (Intermediate),Coursera,DeepLearning.AI,Artificial Intelligence & ML,Machine Learning|TensorFlow|NLP,Intermediate,4 months,Free,4.8,English,Yes,https://www.coursera.org/learn/tensorflow-developer-certificate
9,TensorFlow Developer Certificate (Advanced),Coursera,DeepLearning.AI,Artificial Intelligence & ML,Hugging Face|Keras|Python|NLP,Advanced,4 months,Free,4.7,English,Yes,https://www.coursera.org/learn/tensorflow-developer-certificate
10,AI For Everyone (Beginner),Coursera,Andrew Ng,Artificial Intelligence & ML,OpenCV|TensorFlow|Machine Learning|Python,Beginner,6 hours,Free,4.8,English,Yes,https://www.coursera.org/learn/ai-for-everyone
11,AI For Everyone (Intermediate),Coursera,Andrew Ng,Artificial Intelligence & ML,Keras|NLP|Scikit-learn|OpenCV|Python,Intermediate,6 hours,Free,4.8,English,Yes,https://www.coursera.org/learn/ai-for-everyone
12,AI For Everyone (Advanced),Coursera,Andrew Ng,Artificial Intelligence & ML,Scikit-learn|Keras|TensorFlow,Advanced,6 hours,Free,4.7,English,Yes,https://www.coursera.org/learn/ai-for-everyone
13,Natural Language Processing Specialization (Beginner),Coursera,DeepLearning.AI,Artificial Intelligence & ML,TensorFlow|Machine Learning|Keras,Beginner,4 months,Free,4.7,English,Yes,https://www.coursera.org/learn/natural-language-processing-specialization
14,Natural Language Processing Specialization (Intermediate),Coursera,DeepLearning.AI,Artificial Intelligence & ML,NLP|PyTorch|Hugging Face|OpenCV,Intermediate,4 months,Free,4.7,English,Yes,https://www.coursera.org/learn/natural-language-processing-specialization
15,Natural Language Processing Specialization (Advanced),Coursera,DeepLearning.AI,Artificial Intelligence & ML,Keras|TensorFlow|PyTorch,Advanced,4 months,Free,4.6,English,Yes,https://www.coursera.org/learn/natural-language-processing-specialization
16,"Machine Learning A-Z: AI, Python & R (Beginner)",Udemy,Kirill Eremenko,Artificial Intelligence & ML,Scikit-learn|PyTorch|Deep Learning|Hugging Face|OpenCV,Beginner,44 hours,$14.99,4.5,English,Yes,https://www.udemy.com/course/machine-learning-a-z-ai-python-and-r/
17,"Machine Learning A-Z: AI, Python & R (Intermediate)",Udemy,Kirill Eremenko,Artificial Intelligence & ML,NLP|Python|Scikit-learn|Machine Learning|OpenCV,Intermediate,44 hours,$14.99,4.5,English,No,https://www.udemy.com/course/machine-learning-a-z-ai-python-and-r/
18,"Machine Learning A-Z: AI, Python & R (Advanced)",Udemy,Kirill Eremenko,Artificial Intelligence & ML,Keras|TensorFlow|Scikit-learn|Hugging Face,Advanced,44 hours,$14.99,4.4,English,No,https://www.udemy.com/course/machine-learning-a-z-ai-python-and-r/
